sensor measurement2,sensor measurement3,sensor measurement4,sensor measurement6,sensor measurement7,sensor measurement8,sensor measurement9,sensor measurement11,sensor measurement12,sensor measurement13,sensor measurement14,sensor measurement15,sensor measurement17,sensor measurement20,sensor measurement21,label
-1.721683665,-0.134251922,-0.925913524,0.141679902,1.121113398,-0.516325893,-0.862792404,-0.266460138,0.334253739,-1.058864574,-0.269064519,-0.603801066,-0.78169084,1.348460062,1.1943981,125
-1.061753974,0.211523367,-0.643710265,0.141679902,0.431919707,-0.798073657,-0.958794377,-0.191578282,1.174870848,-0.363637185,-0.642829157,-0.275845125,-0.78169084,1.016503294,1.236891983,125
-0.661796585,-0.413155575,-0.525940401,0.141679902,1.008130826,-0.234578128,-0.557125746,-1.015278693,1.364687614,-0.919819096,-0.551615907,-0.64912831,-2.073043984,0.739872654,0.503410612,125
-0.661796585,-1.261283644,-0.784811894,0.141679902,1.222797713,0.188043519,-0.713808211,-1.539451682,1.961254594,-0.224591707,-0.520163063,-1.971617306,-0.78169084,0.352589758,0.777773291,125
-0.621800846,-1.251497551,-0.301511038,0.141679902,0.714376138,-0.516325893,-0.457048217,-0.977837765,1.052845784,-0.780773618,-0.521735705,-0.339836528,-0.136014269,0.463242014,1.059526211,125
-1.161743321,-0.987273037,-1.173674652,0.141679902,1.471359372,-1.079821422,-0.704751421,-1.427128899,0.36137042,-0.919819096,-0.571536042,-0.835769902,-1.427367412,0.905851038,0.713108687,125
-0.401824283,0.293074143,-1.24033684,0.141679902,1.098516884,-1.079821422,-0.276818099,-0.678310343,1.22910421,-0.919819096,-0.599319388,-1.193055236,-0.78169084,1.569764574,0.810105594,125
-0.241841327,-1.23355638,-0.884805175,0.141679902,0.544902279,-1.361569187,-1.106872892,-1.127601476,1.432479316,-0.919819096,-0.664846148,-0.921091773,-1.427367412,0.85052491,0.193020511,125
-1.121747582,0.074518064,-1.570314666,0.141679902,0.364130164,-0.657199775,-0.850565738,-0.940396838,0.510512165,-0.64172814,-0.946873322,-1.848967117,-0.78169084,1.293133934,1.079849372,125
-1.941660228,0.116924467,-0.941468034,0.141679902,0.251147591,-0.657199775,-0.613277843,-1.913860959,0.510512165,-0.502682663,-0.753438327,-0.361166996,-0.136014269,0.739872654,1.659983252,125
-0.801781671,-1.430909258,-0.921469378,0.141679902,1.324482028,-0.657199775,-0.707921297,-1.464569826,-0.018263113,-1.197910052,-0.16631856,-0.217186339,-0.78169084,0.684546526,1.745894798,125
-1.241734799,-1.160160682,-0.975910164,0.141679902,1.301885514,-0.093704246,-0.718789445,-1.352247043,0.524070506,-1.058864574,-0.498146071,-1.28904234,-1.427367412,1.348460062,0.704794666,125
0.778050013,-1.359144575,-0.900359685,0.141679902,0.081673733,0.328917401,-0.834263516,-0.603428488,0.591862208,-0.224591707,-0.820537729,-0.71845233,-0.136014269,0.629220398,-0.129378732,125
-0.661796585,0.395828121,-1.085902773,0.141679902,1.256692485,-0.093704246,-0.809357344,-0.378782921,0.34781208,-1.33695553,-0.488710218,-1.21971832,-0.136014269,2.012373598,0.858142157,125
-0.50181363,-1.093289046,-0.755924947,0.141679902,0.307638878,0.188043519,-0.589730189,-0.90295591,1.473154338,-0.224591707,-0.848845289,-0.593135832,-1.427367412,0.961177166,0.556989856,125
-1.101749713,-0.414786591,-0.492609307,0.141679902,0.646586595,-0.657199775,-0.720147964,-1.127601476,0.103761951,-0.363637185,-0.400642253,-1.294374957,-0.78169084,0.85052491,1.526958923,125
-0.201845589,-0.907353277,-0.998130893,0.141679902,0.488410993,-0.516325893,-0.467463526,-1.57689261,0.64609557,-0.780773618,-0.33983342,0.32140797,-0.78169084,-0.034693137,0.389785664,125
-0.121854111,0.084304157,-1.423657854,0.141679902,0.940341283,-0.657199775,-0.710638334,-1.23992426,0.469837144,-0.363637185,-0.577826611,-1.049074579,-0.78169084,0.407915886,1.006870747,125
-1.781677273,-0.483289243,-0.953689435,0.141679902,0.917744768,-0.798073657,-0.509577599,-0.528546632,0.64609557,-0.919819096,-0.766543679,-0.2678462,-1.427367412,-0.090019265,0.523733774,125
0.718056405,-1.535294251,-0.411503646,0.141679902,1.629534974,-0.657199775,-0.87592475,-1.202483332,0.890145698,-1.058864574,-0.736139263,-0.563806439,-0.78169084,1.182481678,1.222111502,125
-0.621800846,-0.726310555,-1.200339527,0.141679902,0.804762196,0.188043519,-0.774035863,-1.464569826,1.364687614,-0.224591707,-0.510202995,-0.993082101,-0.78169084,1.514438446,0.18840161,125
0.178113931,0.39256609,-0.929246633,0.141679902,0.29634062,-0.798073657,-0.182627484,-1.127601476,0.795237315,-0.919819096,-0.699444277,-1.033076728,-0.78169084,0.57389427,0.826733635,125
-1.081751843,-0.380535265,-1.575869848,0.141679902,0.691779623,-0.657199775,-0.858716849,-1.090160549,0.144436973,-0.64172814,-0.831022011,-0.483817185,-0.78169084,0.684546526,1.538044284,125
-0.601802977,0.050052831,-1.124789049,0.141679902,0.138165019,0.328917401,-0.972832401,-0.378782921,0.971495741,-0.919819096,-0.517541992,-1.414358838,-0.78169084,1.016503294,0.738050749,125
0.178113931,0.583394905,-1.060348934,0.141679902,0.714376138,-1.079821422,-0.501879327,-0.678310343,1.554504381,-1.058864574,-0.374431549,-1.345034818,-0.136014269,0.739872654,1.284928546,125
-1.041756104,-0.235374884,-1.429213036,0.141679902,0.838656967,-0.37545201,-0.821131171,-1.052719621,1.174870848,-0.502682663,-0.660652435,-0.430491016,0.509662303,0.241937502,1.156523118,125
-0.48181576,-0.008663727,-0.788145004,0.141679902,0.793463939,-1.079821422,-0.782639814,-0.640869415,0.795237315,0.470635682,-0.479798579,-1.001081026,-0.136014269,0.961177166,1.454904078,125
